Sensor	Abundance	Log10u	sigma
mutant0	0.0003760374136908951	-0.06328260909829453	0.32884493164220924
mutant1	0.00026163574983682	0.5285047398347849	0.17460695294652417
mutant10	0.0006289659938420488	0.7526701728984753	0.36542494293983313
mutant100	0.0004081504189920399	-0.7171229563438762	0.2845728334211685
mutant1000	0.0002832217162015264	0.5049074177186608	0.30995521915487007
mutant1001	0.0004884040899135402	0.09354323830803346	0.2727132076067038
mutant1002	0.0007556920804910471	0.11753559798626823	0.08733473973684236
mutant1003	0.0009631730169689727	-0.22329700408548336	0.22336326146827856
mutant1004	0.0006345367829694432	-0.3420624027506798	0.2761624521569965
mutant1005	0.0008746748201583042	-0.6218459318738673	0.10892681454386309
mutant1006	0.0007564295520996022	0.277556856482295	0.06139669417259961
mutant1007	0.00037947959245349805	-1.026433935784532	0.08620857488861997
mutant1008	0.0005553683339316876	0.5483428540755373	0.08728211311877868
mutant1009	0.00036601050888281246	0.13472778069774716	0.2608740911794112
mutant101	0.0004029115064937297	0.5264038471829866	0.06612547669757841
mutant1010	0.0009992911048794385	-0.18528716711915316	0.35934607032082255
mutant1011	0.0007938288015670857	-0.6746755713374868	0.073448276962885
mutant1012	0.00038817360524679974	-0.012629221142706593	0.371532561172909
mutant1013	0.00020057290605144084	0.320439276176784	0.38318019468589104
mutant1014	0.0008915428713811905	-0.17134107347715033	0.31169449054943593
mutant1015	0.0009030788637872176	-0.6023203018509573	0.20144484206409385
mutant1016	0.0006661830057926005	-0.7689853417278016	0.36501545888284137
mutant1017	0.00040956709286759095	-0.7015850762996599	0.08317611673460604
mutant1018	0.0010220026789635038	0.1511976519090099	0.051946126133888396
mutant1019	0.00023273765931000273	-0.4303274277044382	0.11180585923108427
mutant102	0.0002224728898179473	0.04460848743840384	0.13976669547383194
mutant1020	0.0009763382713895754	-0.8956523099903849	0.15589295413369703
mutant1021	0.000686317044547528	0.7257942138460303	0.07962344529515919
mutant1022	0.0002874418491374949	-0.8622490490548885	0.26113781602392044
mutant1023	0.0008465119422125	-0.4002814745513199	0.17061206928031236
mutant1024	0.0006563659239939047	-0.19728976162196687	0.07017375178133173
mutant1025	0.00029757968967788757	0.08581042734893884	0.1638789579611244
mutant1026	0.0006968626599451112	0.0819203854506092	0.14765428346255308
mutant1027	0.0002645124623741007	-1.4139480042386752	0.16709717900954474
mutant1028	0.00102239024317258	0.6634591507881864	0.1899272633251008
mutant1029	0.000408445516423588	-1.451422718155841	0.26703433242837266
mutant103	0.0005506407730323232	-0.2596953762176173	0.3751555236085662
mutant1030	0.0005009144341294972	-0.09063292946855106	0.28909699245744
mutant1031	0.0010234774266483315	-0.9605761413358546	0.2979031257386798
mutant1032	0.0005720434429063972	0.8582331169332549	0.20918890562368836
mutant1033	0.0005963289502225815	0.6560464252880891	0.18293194798934864
mutant1034	0.0009547708875390126	-1.4644682787126864	0.3846657791380538
mutant1035	0.0009568816798110883	-1.1839063605196114	0.24029144805740688
mutant1036	0.0003302772220728745	0.337559798860839	0.16905383449803568
mutant1037	0.0006213862834284539	-0.16791761742703804	0.2195372506413198
mutant1038	0.0006389736531845123	-1.2260621371670977	0.050919409018016774
mutant1039	0.0003020535683664652	0.19092857836480603	0.3181480466386822
mutant104	0.0009969505817263088	0.4573316376439156	0.2667987848884066
mutant1040	0.0008751490348466064	0.4404955738082057	0.27011775543103694
mutant1041	0.0002798658791764286	-0.9510391647276645	0.39054918428116525
mutant1042	0.00044008194160992224	-1.3783766578419467	0.11150221101255944
mutant1043	0.00045100423969111046	-1.010795045419781	0.1581487425202085
mutant1044	0.0005418960286770357	0.8875514838820782	0.12172411853352484
mutant1045	0.000780860383958698	-0.4293647545319843	0.2878940136449851
mutant1046	0.0005903132267047226	-1.154054575781043	0.15594508965494802
mutant1047	0.0009099445837695452	-1.1285984844271528	0.1869466361986889
mutant1048	0.0004577258816449462	0.8162853224820648	0.3707084375343741
mutant1049	0.0005781083488292228	0.7924100479134806	0.09113607074472879
mutant105	0.0005406405992933517	-0.855470509789131	0.26958101081473035
mutant1050	0.00026667178200298825	-0.2663929597610908	0.08979487410911141
mutant1051	0.0005678605847567458	-0.48191961581314535	0.17370777947082772
mutant1052	0.00030049411730014	-1.4572143332667795	0.08433125046371572
mutant1053	0.0003414778289487884	-1.0258103435381698	0.3937886974271895
mutant1054	0.0007984765036370228	-1.498908242642183	0.18572759858711851
mutant1055	0.0006327537433798236	-1.4258109209440224	0.1556019661596531
mutant1056	0.0003131983522299873	-0.4373809301513083	0.33822757718866825
mutant1057	0.0009293116754426321	-1.2042764824504137	0.3031920476308393
mutant1058	0.001011994519822668	-0.7916946877405363	0.16616303475156508
mutant1059	0.0007808772637722678	-0.8470630299347987	0.26155051853216066
mutant106	0.00044894953415925966	-0.9829421582530686	0.38493129108955776
mutant1060	0.0005443047998410207	-0.37268373245094355	0.15314226356426527
mutant1061	0.00046927751479476187	-0.8180394683040135	0.24101849495847688
mutant1062	0.0005170079782083151	-1.1421989612725485	0.2916008114784847
mutant1063	0.0010200690735836617	-1.1710160485029362	0.09281713727924717
mutant1064	0.0008321635570753982	-1.4677013260508427	0.2814749433247697
mutant1065	0.0008245536041623477	0.24364981491776505	0.38331792551720467
mutant1066	0.0010629267027775593	0.8096731198751335	0.14344128911776538
mutant1067	0.000326145444424919	-0.25841181893073717	0.35047040756044995
mutant1068	0.0010826738715193716	0.8144175118397929	0.24407173252606157
mutant1069	0.0011341136709074203	0.7022038016943188	0.0657734639969299
mutant107	0.001095817196654971	-1.4636097937218737	0.06444422656904775
mutant1070	0.0003816538107630968	-1.176208753501294	0.061126468612877606
mutant1071	0.001089422457029849	-1.4735818853543996	0.2156339610620942
mutant1072	0.0007688387590442796	0.2621537307282258	0.31403449909354025
mutant1073	0.0006422364653723854	-1.1836991616102182	0.2633158968559465
mutant1074	0.000844485547661894	-0.12261575008344261	0.1479638648142081
mutant1075	0.0007746540373087997	-0.01832450445255618	0.05377999042927942
mutant1076	0.0010819692417883798	0.6026686069130176	0.18422433428815727
