Bin	R1	R2
P1	1.4,10.0	1.4,10.0
P2	1.1,1.4	1.1,1.4
P3	0.9,1.1	0.9,1.1
P4	0.8,0.9	0.8,0.9
P5	0.7,0.8	0.7,0.8
P6	0.6,0.7	0.6,0.7
P7	0.5,0.6	0.5,0.6
P8	0.4,0.5	0.4,0.5
P9	0.3,0.4	0.3,0.4
P10	0.2,0.3	0.2,0.3
P11	0.1,0.2	0.1,0.2
P12	0.0,0.1	0.0,0.1
P13	-0.1,0.0	-0.1,0.0
P14	-0.2,-0.1	-0.2,-0.1
P15	-0.3,-0.2	-0.3,-0.2
P16	-0.4,-0.3	-0.4,-0.3
P17	-0.5,-0.4	-0.5,-0.4
P18	-0.6,-0.5	-0.6,-0.5
P19	-0.7,-0.6	-0.7,-0.6
P20	-0.8,-0.7	-0.8,-0.7
P21	-0.9,-0.8	-0.9,-0.8
P22	-1.0,-0.9	-1.0,-0.9
P23	-1.1,-1.0	-1.1,-1.0
P24	-1.2,-1.1	-1.2,-1.1
P25	-1.3,-1.2	-1.3,-1.2
P26	-1.4,-1.3	-1.4,-1.3
P27	-1.5,-1.4	-1.5,-1.4
P28	-1.7,-1.5	-1.7,-1.5
P29	-2.0,-1.7	-2.0,-1.7
P30	-10.0,-2.0	-10.0,-2.0
