Bin	R1	R2
P1	0.0015203231332456975	0.0015203231332456975
P10	0.04185154195246913	0.04185154195246913
P11	0.04199348911704051	0.04199348911704051
P12	0.04129125385985238	0.04129125385985238
P13	0.04084297565106292	0.04084297565106292
P14	0.043057339624501215	0.043057339624501215
P15	0.04582747642506603	0.04582747642506603
P16	0.04555800174247586	0.04555800174247586
P17	0.045012235861094	0.045012235861094
P18	0.0435082933047795	0.0435082933047795
P19	0.04199987544193468	0.04199987544193468
P2	0.009190087849926296	0.009190087849926296
P20	0.04071969828994639	0.04071969828994639
P21	0.04008365292382836	0.04008365292382836
P22	0.039026235407571656	0.039026235407571656
P23	0.03754360727633096	0.03754360727633096
P24	0.035756238163880384	0.035756238163880384
P25	0.03371500394669559	0.03371500394669559
P26	0.02958196401162616	0.02958196401162616
P27	0.022864539675542327	0.022864539675542327
P28	0.022771953271135886	0.022771953271135886
P29	0.008900597862542313	0.008900597862542313
P3	0.02520234724269124	0.02520234724269124
P30	0.0015991934013402363	0.0015991934013402363
P4	0.02571167050697736	0.02571167050697736
P5	0.033157163749602946	0.033157163749602946
P6	0.03817333077926251	0.03817333077926251
P7	0.04116395363816445	0.04116395363816445
P8	0.04126489929836723	0.04126489929836723
P9	0.04111105659104596	0.04111105659104596
