Bin	R1	R2
P1	152.0323133245697	152.0323133245697
P10	4185.1541952469115	4185.1541952469115
P11	4199.34891170405	4199.34891170405
P12	4129.125385985237	4129.125385985237
P13	4084.297565106291	4084.297565106291
P14	4305.73396245012	4305.73396245012
P15	4582.747642506602	4582.747642506602
P16	4555.800174247584	4555.800174247584
P17	4501.223586109399	4501.223586109399
P18	4350.829330477948	4350.829330477948
P19	4199.987544193467	4199.987544193467
P2	919.0087849926293	919.0087849926293
P20	4071.969828994638	4071.969828994638
P21	4008.365292382835	4008.365292382835
P22	3902.6235407571644	3902.6235407571644
P23	3754.360727633095	3754.360727633095
P24	3575.623816388037	3575.623816388037
P25	3371.500394669558	3371.500394669558
P26	2958.196401162615	2958.196401162615
P27	2286.453967554232	2286.453967554232
P28	2277.195327113588	2277.195327113588
P29	890.0597862542311	890.0597862542311
P3	2520.234724269123	2520.234724269123
P30	159.91934013402357	159.91934013402357
P4	2571.1670506977352	2571.1670506977352
P5	3315.7163749602933	3315.7163749602933
P6	3817.3330779262496	3817.3330779262496
P7	4116.395363816444	4116.395363816444
P8	4126.489929836722	4126.489929836722
P9	4111.105659104595	4111.105659104595
