Bin	R1	R2
P1	B01P1	B02P1
P2	B01P2	B02P2
P3	B01P3	B02P3
P4	B01P4	B02P4
P5	B01P5	B02P5
P6	B01P6	B02P6
P7	B01P7	B02P7
P8	B01P8	B02P8
P9	B01P9	B02P9
P10	B01P10	B02P10
P11	B01P11	B02P11
P12	B01P12	B02P12
P13	B01P13	B02P13
P14	B01P14	B02P14
P15	B01P15	B02P15
P16	B01P16	B02P16
P17	B01P17	B02P17
P18	B01P18	B02P18
P19	B01P19	B02P19
P20	B01P20	B02P20
P21	B01P21	B02P21
P22	B01P22	B02P22
P23	B01P23	B02P23
P24	B01P24	B02P24
P25	B01P25	B02P25
P26	B01P26	B02P26
P27	B01P27	B02P27
P28	B01P28	B02P28
P29	B01P29	B02P29
P30	B01P30	B02P30
