Sensor	R1	R2
mutant0	0.19508830591300994	0.2149217999758242
mutant1	0.4	0.38093042302109686
mutant10	0.28602931326206205	0.31968964456825666
mutant100	0.18562546424371634	0.14548640400860624
mutant1000	0.06268498955245178	0.059587328110739204
mutant1001	0.058340442318945834	0.05990518087420724
mutant1002	0.24499868997225638	0.24761111590227008
mutant1003	0.4	0.2199597403400981
mutant1004	0.27339449334825316	0.15707252994890475
mutant1005	0.19086590511038126	0.3921676507638709
mutant1006	0.1735669990628958	0.2899848985350937
mutant1007	0.3549022476183936	0.1850714936987252
mutant1008	0.05	0.05
mutant1009	0.2820190141058686	0.2707514415335793
mutant101	0.07066061579720363	0.05041842107282719
mutant1010	0.05177305102697573	0.05
mutant1011	0.20943578017091283	0.2980262808253572
mutant1012	0.18169575825989176	0.05890046720377586
mutant1013	0.3347457627118644	0.21455793688907038
mutant1014	0.4	0.24710950882419158
mutant1015	0.06630940122994888	0.07134092803028916
mutant1016	0.06174559242760688	0.06854899940876677
mutant1017	0.05	0.06722085764012789
mutant1018	0.05	0.05
mutant1019	0.055147750997225485	0.05
mutant102	0.4	0.4
mutant1020	0.17058976673668153	0.14478852134694248
mutant1021	0.38123016592734	0.3917033445171547
mutant1022	0.06718678846450479	0.05020409176202975
mutant1023	0.05184238959162031	0.0704212919811754
mutant1024	0.14908782038754953	0.15946336996856472
mutant1025	0.3007310804477156	0.2752692579835849
mutant1026	0.2636252508217647	0.15702593291215106
mutant1027	0.05710073815297457	0.05
mutant1028	0.05	0.14797845793361042
mutant1029	0.25199066170932427	0.3280745413095544
mutant103	0.2311592703743372	0.35918069106272066
mutant1030	0.29277218712653086	0.3763490929090614
mutant1031	0.05	0.05382782981129072
mutant1032	0.06779309269082748	0.06984332825353753
mutant1033	0.281755408761015	0.4
mutant1034	0.06838084614210958	0.06909260393210442
mutant1035	0.05	0.05837836764366103
mutant1036	0.26014164307445575	0.3865424656326037
mutant1037		0.06012406975665001
mutant1038	0.05	0.05710554324302074
mutant1039	0.07200068746653754	0.060745426426243865
mutant104	0.4	0.2576271186440678
mutant1040	0.06331949869374201	0.052498703100663985
mutant1041	0.3060492961346418	0.31488750647808617
mutant1042	0.32657282847506736	0.4
mutant1043	0.07005374230602733	0.308620816455958
mutant1044	0.3159199892594724	0.22220964510741315
mutant1045	0.06515266784767709	0.05986048326487185
mutant1046	0.0600442975735552	0.06767594321756384
mutant1047	0.05	0.055520034416323805
mutant1048	0.3910812750377226	0.3381996258492827
mutant1049	0.3200642030921422	0.2825014373329683
mutant105	0.26357176477726746	0.22194063150279503
mutant1050	0.05134156087879092	0.08217015728864442
mutant1051	0.28956890182790196	0.33984732984405897
mutant1052	0.4	0.2896533202220636
mutant1053	0.35145557249397247	0.3053409577083258
mutant1054	0.07116234287723897	0.06841399735439854
mutant1055	0.4	0.3319856375644722
mutant1056	0.4	0.39023847840726367
mutant1057	0.15211230605938578	0.25022867131439075
mutant1058	0.05202557318465551	
mutant1059	0.22441139905241714	0.2513042937483835
mutant106	0.07043030635063388	0.0677499187204515
mutant1060	0.30856074384060966	0.36756510001135456
mutant1061	0.2128968671122321	0.18197579061710523
mutant1062	0.07172242359026129	0.06615157293710265
mutant1063	0.06330104221461523	0.06816196144430842
mutant1064	0.05429707302493626	0.06446324170357551
mutant1065	0.19996890226550595	0.27334595160803904
mutant1066		0.22085671011113417
mutant1067	0.293104389147208	0.3159105345979333
mutant1068	0.1874630885041858	0.16767592973394413
mutant1069	0.06295739514445906	0.07135342646486328
mutant107	0.21147925974968196	0.37228190337650857
mutant1070	0.4	0.4
mutant1071	0.05	0.05
mutant1072	0.06502340041681338	0.06864377089585802
mutant1073	0.06742882191203575	0.33563046232100247
mutant1074	0.3071874137359861	0.2710628964987585
mutant1075	0.3880856281290399	0.4
mutant1076	0.06361924529879653	0.05
mutant1077	0.2348976760310918	0.15770644325505648
mutant1078	0.2644136565294282	0.23316363432910295
mutant1079	0.050030201906338334	0.0650973204589039
mutant108	0.05	
mutant1080	0.3466101694915254	0.3359518577401085
mutant1081	0.36248204317280874	0.34035028388166166
mutant1082	0.2878403485311489	0.21913921967933048
mutant1083	0.17428624077491756	0.07027205002323704
mutant1084	0.05	0.05
mutant1085	0.3525402647154222	0.2510377835793616
mutant1086	0.3083570627369161	0.4
mutant1087	0.05	0.05
mutant1088	0.06081165211441746	0.0627992789507722
mutant1089	0.0709712896467271	0.07343475597784585
mutant109	0.06259121050815125	0.062063267013718545
mutant1090	0.24601010014597124	0.2595520213873763
mutant1091	0.07115301339192304	0.06898603820463532
mutant1092	0.4	0.25832460797048756
mutant1093	0.05	0.05
mutant1094	0.07112097224710803	0.0712663297557435
mutant1095	0.30780553095698515	0.4
mutant1096	0.06426812732979222	0.05
mutant1097	0.05	0.05
mutant1098	0.06928242251554663	0.07088710318398575
mutant1099	0.32836570290762834	0.32424232716181955
mutant11	0.05155782743822784	0.06611083155575895
mutant110	0.26932512214015203	0.35425601601698686
mutant1100	0.4	0.38462393145018714
mutant1101	0.38830711638714244	0.23025331998060422
mutant1102	0.06512306546160239	0.05165950465016067
mutant1103	0.06748548077320271	0.224449103387091
mutant1104	0.05	0.05
mutant1105	0.061141776185513294	0.06876647957527127
mutant1106	0.06946577830099207	0.2689696408237796
mutant1107	0.06599935107798312	0.05882013298994737
mutant1108	0.055932203389830515	0.06526859665282017
mutant1109	0.05	0.05
mutant111	0.05	0.05
mutant1110	0.05	
mutant1111	0.07221230536390139	0.07786956022675333
mutant1112	0.4	0.31856824150897267
mutant1113	0.06616024384569524	0.0665839597692051
mutant1114	0.38762688635313114	0.4
mutant1115	0.1929430441967653	0.2218525319235664
mutant1116	0.059993681057362636	0.06248830351021411
mutant1117	0.08740085205161259	0.06283548227527005
mutant1118	0.06956439847417442	0.06884770783657387
mutant1119	0.06861607428091453	0.06999008666031005
mutant112	0.06057419325651162	0.24675287472868435
mutant1120	0.31371211404421995	0.2728574825599591
mutant1121	0.19109339686263796	0.2318876147233287
mutant1122	0.4	0.3438111907104031
mutant1123	0.052130087382975046	0.051978318332694465
mutant1124	0.3040849381045586	0.4
mutant1125	0.22016910211256663	0.07223454455181622
mutant1126	0.07002842430700253	0.06308007755117928
mutant1127	0.05884902915421862	0.069190895663547
mutant1128	0.2273969405819662	0.4
mutant1129	0.07232876321705739	0.07273339863957941
mutant113	0.179877312953927	0.06522728108127325
mutant1130	0.061381086194923794	0.0639637720297119
mutant1131	0.06660447825096827	0.07053193347124859
mutant1132	0.2531771931052208	0.3373867499150678
mutant1133	0.3992612107330933	0.28997098301042584
mutant1134	0.055932203389830515	0.0654978121016607
mutant1135	0.06218836777771256	0.06380365664420852
mutant1136	0.203403665003379	0.27261321804201305
mutant1137	0.16401588326687525	0.1361811367070645
mutant1138	0.0707369085175005	0.06816081514125591
mutant1139	0.3169491525423729	0.3525423728813559
mutant114	0.06893970774256727	0.06794586801077332
mutant1140	0.20372950874489587	0.24622872631016532
mutant1141	0.0640366706575055	0.0692149366589842
mutant1142	0.05095039046958845	0.06499365683009015
mutant1143	0.24434545997726287	0.23399121158309039
mutant1144		0.05261999021553494
mutant1145	0.05	0.05
mutant1146	0.06422246095605755	0.08157747631381262
mutant1147	0.30456343578278877	0.26549666182735415
mutant1148	0.050936360754440115	0.06590018503804809
mutant1149	0.29325593262573846	0.2669273668131791
mutant115	0.07350025040527633	0.068172681005198
mutant1150	0.05	0.06074252787285693
mutant1151	0.28725909125917637	0.3205786341644432
mutant1152	0.24109973669664844	0.250123124144187
mutant1153	0.06045067588121958	0.07636155170940426
mutant1154	0.17991941134494388	0.23856895300118547
mutant1155	0.07167549717856238	0.068242066220697
mutant1156	0.06378941491232107	0.07050335248801932
mutant1157	0.0718778949319003	0.26905715753443804
mutant1158	0.05	0.05
mutant1159	0.06403090194023262	0.16165521175649622
mutant116	0.30596907926000366	0.29559542235627323
mutant1160	0.3223686715046336	0.24428099043740836
mutant1161	0.06621137765960133	0.0714267465720032
mutant1162	0.26095076039298687	0.4
mutant1163	0.16390163402047403	0.16158151675373877
mutant1164	0.38813559322033897	0.26897360729114894
mutant1165	0.07223091288504863	0.06456644995369827
mutant1166	0.06986431371511537	0.07052820050921403
mutant1167	0.3641567005690702	0.3449819908993882
mutant1168	0.06068503253484763	0.0580639486124116
mutant1169	0.05064449773635715	0.06288526280885395
mutant117	0.05	0.05459483062027255
mutant1170	0.06520068022833658	0.06771072294498418
mutant1171	0.06005386280635064	0.16033103010372102
mutant1172	0.3250274487586055	0.30283321266503715
mutant1173	0.06041307679534941	0.06552953379407023
mutant1174	0.21992443236644926	0.061054477236628824
mutant1175	0.05	0.05
mutant1176	0.32950253704858423	0.2128294872039451
mutant1177	0.07032688533434509	0.0516749410445482
mutant1178	0.06184033833767756	0.05
mutant1179	0.26946271942438266	0.30683760810841265
mutant118	0.05	0.05
mutant1180	0.31370891594295436	0.4
mutant1181	0.19326468750736428	0.2570045418253071
mutant1182	0.07196860129170629	0.05
mutant1183	0.06181222168093588	0.06832175333230348
mutant1184	0.23332996917943666	0.2562434734690837
mutant1185	0.06471096072910368	0.05164028599772792
mutant1186	0.07261242732007744	0.06419661731240808
mutant1187	0.0706426645439826	0.05166643289630883
mutant1188	0.19874566647003553	0.22679229079646152
mutant1189	0.05734997690494294	0.06046294614944943
mutant119	0.06797583072188781	0.06981621028988956
mutant1190	0.16536761883058	0.17403352436266445
mutant1191	0.05	0.05
mutant1192	0.07060845511655192	0.07078391054895244
mutant1193	0.050633226904319595	0.18329058393247816
mutant1194	0.4	0.4
mutant1195	0.4	0.23694888872164105
mutant1196	0.20932730587530193	0.3375382325113795
mutant1197	0.05	
mutant1198	0.2460230159132104	0.4
mutant1199	0.06733656780450621	0.05
mutant12	0.34162123453189147	0.34746820665741895
mutant120	0.34447638473847425	0.3487621831580213
mutant1200	0.06932268700828374	0.062395380243575854
mutant1201	0.056108784245906235	0.22685074662397575
mutant1202	0.4	0.29133250545327377
mutant1203	0.14888691440306212	0.24973924996625435
mutant1204	0.34723459788456434	0.2640393074443808
mutant1205	0.4	0.33535885595067044
mutant1206	0.0696711995912215	
mutant1207	0.3579961371297127	0.28642207344650833
mutant1208	0.17071202406026326	0.22322769495033612
mutant1209	0.2364174398093632	0.06304344961351654
mutant121	0.33511385302267666	0.303190313907904
mutant1210	0.2435227018107023	0.2468597194395567
mutant1211	0.3783014063606971	0.31088827135507
mutant1212	0.21806201860014549	0.24599903947928015
mutant1213	0.345856466477501	0.36293293121220294
mutant1214	0.059329057884142895	0.06652060919140348
mutant1215	0.05321202771505344	0.05204688919184264
mutant1216	0.06886367639148373	0.06115530471242395
mutant1217	0.4	0.3434906938804718
mutant1218	0.35488754411893575	0.26959013298463913
mutant1219	0.3989976238505915	0.19449138070922345
mutant122	0.06858787045180618	0.06980361814882086
mutant1220	0.2277856038421343	0.4
mutant1221	0.07003167045520195	0.3295471545390932
mutant1222	0.07050009890705644	0.06791285216079367
mutant1223	0.05	0.05
